,index,chromosome,gene,start bp,stop bp,+1 or -1 strand,fitness
785,509,chrIII,YCL016C,94621,95763,-1,"[1.6912639346271254, 1.8796257167627959, 1.9654478632158394, 1.210388289726734, 1.1256327492988034, 1.0921363282439258, 0.7701092349517793, 1.5222278170899979, 0.6690044017789917, 1.6506673445016888, 0.5265051429156039]"
794,510,chrIII,YCL017C,92777,94270,-1,[0.2829010508794287]
788,511,chrIII,YCL018W,91324,92418,1,[]
789,512,chrIII,YCL019W,85102,90415,1,[]
779,513,chrIII,YCL020W,85102,86418,1,[0.2829010508794287]
790,514,chrIII,YCL022C,81570,82085,-1,"[0.7701092349517793, 1.1562125858513421, 1.4412111035781174, 1.1256327492988034, 1.8095158961099336, 1.0921363282439258, 1.1562125858513421, 1.4279474005879649, 1.950490439282404, 1.8758668957397557, 2.313436250001735, 0.8485322362077505, 2.29899882220469, 1.8229486043524514, 1.4279474005879649, 1.596491640626297, 1.5880226425010073, 2.0270750069711645, 1.7445256030964802, 1.0921363282439258, 1.8906668263183164, 1.1562125858513421, 0.6690044017789917, 0.8485322362077505, 0.2829010508794287, 1.4279474005879649, 1.2573174190241294, 2.0391533920906166, 1.466325100326476, 0.9126084938151668, 1.0551077526785546, 1.0137133269879544, 1.818527836434233, 1.6128409333711538, 0.2829010508794287]"
792,515,chrIII,YCL023C,78949,79296,-1,"[0.9667841976905588, 0.2829010508794287, 1.8796257167627959, 2.5927061922994863, 1.7445256030964802, 1.988129695132655, 1.4412111035781174, 1.6434207699236927, 0.8485322362077505, 1.4897635448401925, 0.2829010508794287, 1.335740420280101, 0.6690044017789917, 1.5613176678635161, 1.8273144544776805, 0.6690044017789917, 2.119470987775931, 1.210388289726734, 1.0137133269879544, 1.7606252003313516, 2.2944345188891235, 2.144975697644598, 1.5117361001983665, 1.2786237250538226, 1.921850004504908, 1.4897635448401925, 1.9535332843988262, 0.9667841976905588, 0.2829010508794287]"
793,516,chrIII,YCL024W,79162,82275,1,"[1.6434207699236927, 1.478239679143489, 1.6047613495965325, 0.9667841976905588, 1.4412111035781174, 1.7038169267269039, 2.0221249756261837, 0.7701092349517793, 0.2829010508794287, 0.9667841976905588, 0.9126084938151668, 0.2829010508794287, 1.6506673445016888, 0.5265051429156039, 1.7606252003313516, 1.4897635448401925, 1.4539923817629092, 0.5265051429156039, 1.8942714365378641, 0.9667841976905588, 1.6360216247266204, 1.8358867432475112, 0.5265051429156039, 0.5265051429156039, 1.7709626048536449, 2.2767701772178794, 0.5265051429156039, 1.1843433085517896, 1.4412111035781174, 0.7701092349517793, 1.384859253954082, 1.9797946068643946, 1.0551077526785546, 1.9348680266633007, 0.7701092349517793, 2.1020403205917004, 1.3998166778875174, 1.7099291923626512, 1.8049217598996912, 1.5613176678635161, 1.0137133269879544, 1.9048686137200155, 1.4412111035781174, 1.6360216247266204, 0.5265051429156039, 1.500921511060305, 0.8485322362077505, 0.9126084938151668, 1.6506673445016888, 0.2829010508794287, 0.5265051429156039, 1.921850004504908, 1.5324153830188807, 1.4539923817629092, 1.210388289726734, 0.5265051429156039, 0.2829010508794287, 1.9935785859162871, 0.5265051429156039, 1.551945208018266, 0.5265051429156039, 1.6506673445016888, 0.6690044017789917, 0.8485322362077505, 0.7701092349517793, 0.9667841976905588, 0.2829010508794287, 0.5265051429156039, 0.5265051429156039, 1.0137133269879544, 1.6047613495965325, 1.8140507514875275, 1.6207389380068766, 0.2829010508794287, 1.3177135758273408, 1.5880226425010073, 1.0137133269879544, 0.7701092349517793, 0.2829010508794287, 0.2829010508794287, 1.4539923817629092, 1.1256327492988034, 0.5265051429156039, 1.0137133269879544, 0.2829010508794287, 0.6690044017789917, 0.5265051429156039, 1.5793445123162764, 1.210388289726734, 0.5265051429156039, 0.9126084938151668, 1.998944284270717, 1.67155149262414, 0.2829010508794287, 0.7701092349517793, 0.9667841976905588, 1.7760194750550562, 1.4539923817629092, 1.6912639346271254, 1.0551077526785546, 1.3177135758273408, 1.1562125858513421, 1.1843433085517896, 0.8485322362077505, 1.944324554542804, 1.8442549103821446, 0.5265051429156039, 0.7701092349517793, 1.596491640626297, 1.3692368413349787, 1.0921363282439258]"
797,517,chrIII,YCL025C,76018,77919,-1,"[1.9151555846603154, 2.041520043562752, 0.7701092349517793, 2.0531199881461086, 1.5117361001983665, 1.478239679143489, 0.5265051429156039, 1.0551077526785546, 0.2829010508794287, 1.8604162135983036, 1.8049217598996912, 1.1256327492988034, 1.7553401922345417, 1.9348680266633007, 1.8002667724356356, 0.6690044017789917, 0.6690044017789917, 1.8720674380264324, 1.7760194750550562, 0.2829010508794287, 1.2786237250538226, 1.1256327492988034, 2.125094250389248, 1.990864700496095, 2.427623394462315, 1.1562125858513421, 0.2829010508794287, 0.7701092349517793, 2.2358283548293962, 0.2829010508794287, 1.4897635448401925, 1.4279474005879649, 0.8485322362077505, 0.2829010508794287, 2.1703925349248543, 1.0137133269879544, 0.2829010508794287, 1.0921363282439258, 0.2829010508794287, 0.6690044017789917, 1.210388289726734, 1.6912639346271254, 0.6690044017789917, 1.0137133269879544, 1.6360216247266204, 0.2829010508794287, 1.9412005658352596, 1.2786237250538226, 0.2829010508794287, 1.4141634215360728, 1.9962716750753093, 0.2829010508794287, 1.1256327492988034, 0.7701092349517793, 1.8524284512260387, 0.7701092349517793, 0.5265051429156039, 1.7709626048536449, 0.7701092349517793, 1.6047613495965325, 1.9741259934005702, 1.2573174190241294, 1.1256327492988034, 0.5265051429156039, 0.9667841976905588, 0.2829010508794287]"
806,518,chrIII,YCL027W,71803,73341,1,"[1.0137133269879544, 1.4897635448401925, 1.4539923817629092, 1.5222278170899979, 0.5265051429156039, 0.5265051429156039, 0.6690044017789917, 0.9126084938151668, 0.2829010508794287, 2.173646691651323, 1.0551077526785546, 0.5265051429156039, 1.3177135758273408, 0.2829010508794287, 1.4412111035781174, 1.3692368413349787, 1.901371605608423, 1.7159369696921372, 1.466325100326476, 0.2829010508794287, 1.7499744938801116, 1.4141634215360728, 1.8564450254073293, 1.0921363282439258, 1.1562125858513421, 0.9667841976905588, 1.384859253954082, 1.0137133269879544, 1.1256327492988034, 1.0921363282439258, 1.5793445123162764, 1.1843433085517896, 1.29871184471473, 1.384859253954082, 1.6434207699236927, 0.2829010508794287, 0.2829010508794287, 1.950490439282404, 1.6434207699236927, 1.3692368413349787, 1.5704466594513526, 1.29871184471473, 1.2573174190241294, 1.5613176678635161, 1.2786237250538226, 0.9667841976905588, 1.2573174190241294, 1.551945208018266, 0.2829010508794287, 1.3177135758273408, 0.5265051429156039]"
800,519,chrIII,YCL028W,70150,71367,1,"[1.7276529351014789, 0.2829010508794287, 2.0531199881461086, 1.9825949915258596, 1.4539923817629092, 1.4539923817629092, 1.6434207699236927, 0.5265051429156039, 0.8485322362077505, 2.0794908352836865, 2.0196235670912315, 1.29871184471473, 1.9535332843988262, 1.4279474005879649, 1.8833447611556626, 0.2829010508794287, 0.8485322362077505, 0.9126084938151668, 0.2829010508794287, 1.5613176678635161, 0.9667841976905588, 0.2829010508794287, 0.6690044017789917, 2.089920277626467, 0.2829010508794287, 0.9126084938151668]"
804,520,chrIII,YCL029C,68599,69921,-1,"[1.0137133269879544, 1.738990899489685, 2.0295241208232553, 1.7445256030964802, 0.6690044017789917, 1.29871184471473, 0.2829010508794287, 1.1562125858513421, 2.2016528100549424, 1.5704466594513526, 1.4279474005879649, 1.29871184471473, 1.950490439282404, 1.9083311679895607, 1.7907676424086143, 0.2829010508794287, 1.9316584480501855, 1.6975964737990845, 1.8906668263183164, 1.5423159367509052, 1.0551077526785546, 0.5265051429156039, 0.6690044017789917, 0.5265051429156039, 1.0137133269879544, 1.5324153830188807, 2.089920277626467, 0.8485322362077505, 1.3177135758273408, 0.2829010508794287, 0.2829010508794287, 0.8485322362077505, 1.0921363282439258, 0.5265051429156039, 1.29871184471473, 1.2573174190241294, 1.4279474005879649, 1.5704466594513526, 1.7553401922345417, 0.2829010508794287, 2.346635799506773, 2.0246087062146256, 1.5117361001983665, 1.6848151956142927, 0.6690044017789917, 0.2829010508794287, 1.9185187339184437, 1.990864700496095, 2.0246087062146256, 1.1256327492988034, 1.7907676424086143, 1.738990899489685, 1.6848151956142927, 2.123229808798971, 1.8002667724356356]"
745,521,chrIII,YCL030C,65934,68333,-1,"[0.2829010508794287, 1.384859253954082, 0.7701092349517793, 1.5613176678635161, 1.5324153830188807, 0.2829010508794287, 1.7553401922345417, 1.0551077526785546, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 0.8485322362077505, 0.2829010508794287, 1.2573174190241294, 1.29871184471473, 1.2346355871073136, 1.4539923817629092, 1.8140507514875275, 1.0551077526785546, 1.210388289726734, 1.0137133269879544, 1.384859253954082, 0.6690044017789917, 2.009436001162348, 0.9126084938151668, 1.4412111035781174, 1.0137133269879544, 0.5265051429156039, 1.8273144544776805, 0.5265051429156039, 0.5265051429156039, 2.0709185465138558, 1.4141634215360728, 1.8442549103821446, 0.9126084938151668, 1.78592002878708, 1.0137133269879544, 0.6690044017789917]"
753,522,chrIII,YCL031C,64675,65568,-1,[0.7701092349517793]
743,523,chrIII,YCL032W,63441,64481,1,"[1.901371605608423, 1.9251499950935305, 0.7701092349517793, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 2.3145226385500313, 2.0773672855266883, 0.2829010508794287, 1.1843433085517896, 0.7701092349517793, 2.209051955252014, 1.0921363282439258, 0.5265051429156039, 1.335740420280101, 1.8720674380264324, 1.8942714365378641, 0.9126084938151668, 1.29871184471473, 1.8720674380264324, 1.8604162135983036, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 1.9741259934005702, 1.7445256030964802, 1.2573174190241294, 0.9667841976905588, 1.3528875485901217]"
698,524,chrIII,YCL033C,62776,63282,-1,"[0.5265051429156039, 1.7159369696921372, 0.5265051429156039, 1.335740420280101, 1.3998166778875174, 1.0551077526785546, 1.1256327492988034, 1.1562125858513421, 1.500921511060305]"
678,525,chrIII,YCL034W,61658,62722,1,"[0.2829010508794287, 1.3692368413349787, 1.3177135758273408, 1.7907676424086143, 1.6912639346271254, 1.1562125858513421, 1.2573174190241294, 1.2346355871073136, 0.2829010508794287, 1.976971728912543, 1.6912639346271254, 1.7907676424086143, 2.2412146122183474, 1.2573174190241294, 0.7701092349517793, 1.4141634215360728, 1.29871184471473, 1.384859253954082, 0.8485322362077505, 1.3528875485901217, 0.6690044017789917, 1.78592002878708, 0.2829010508794287, 2.168754087129706, 1.4897635448401925, 1.210388289726734, 1.5222278170899979, 1.947421018763079, 0.8485322362077505, 2.036770695401252, 1.2346355871073136, 1.6207389380068766, 1.9741259934005702, 0.7701092349517793, 1.2346355871073136, 1.8758668957397557, 1.9151555846603154, 2.331463094454495, 1.8564450254073293, 0.5265051429156039]"
679,526,chrIII,YCL035C,60841,61173,-1,"[1.29871184471473, 0.9126084938151668, 1.7445256030964802, 1.950490439282404, 0.2829010508794287]"
680,527,chrIII,YCL036W,59026,60726,1,"[1.6647270759533856, 1.9185187339184437, 1.8273144544776805, 1.657767513572248, 1.7276529351014789, 0.5265051429156039, 1.29871184471473, 0.2829010508794287, 2.062131928470408, 1.8833447611556626, 2.125094250389248, 1.478239679143489, 1.4279474005879649, 1.2786237250538226, 2.459902621866186, 2.0295241208232553, 1.7553401922345417, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 2.1213554234731973, 1.5222278170899979, 0.9126084938151668, 0.9667841976905588, 1.478239679143489, 0.2829010508794287, 0.2829010508794287, 1.5222278170899979, 1.335740420280101, 1.29871184471473, 1.8400957326624723, 0.9667841976905588, 1.2573174190241294, 0.2829010508794287, 0.6690044017789917, 0.9126084938151668, 1.7760194750550562, 1.6207389380068766, 0.5265051429156039, 1.3177135758273408, 1.4539923817629092, 1.2786237250538226, 2.0196235670912315, 0.2829010508794287, 1.5793445123162764, 1.6506673445016888, 0.7701092349517793, 1.0137133269879544, 1.596491640626297, 2.1784721186994758, 0.5265051429156039, 0.2829010508794287, 1.1843433085517896, 1.500921511060305, 1.944324554542804, 2.162122825954619, 1.5324153830188807, 0.2829010508794287]"
681,528,chrIII,YCL037C,57374,58678,-1,"[0.6690044017789917, 0.9667841976905588, 0.2829010508794287, 1.466325100326476, 1.1562125858513421, 1.7159369696921372, 0.8485322362077505, 1.6912639346271254, 1.0137133269879544, 0.6690044017789917, 1.738990899489685, 1.4141634215360728, 0.9667841976905588, 1.29871184471473, 1.6434207699236927, 1.7099291923626512, 1.0551077526785546, 2.1213554234731973, 1.6782459124687328, 0.2829010508794287, 1.0921363282439258, 0.6690044017789917, 0.8485322362077505, 0.6690044017789917, 1.2786237250538226, 2.111830547399095, 1.7276529351014789, 1.0551077526785546, 0.9126084938151668]"
682,529,chrIII,YCL038C,54941,56527,-1,"[2.073081300511568, 0.7701092349517793, 0.5265051429156039, 1.7159369696921372, 0.7701092349517793, 0.2829010508794287, 1.6128409333711538, 0.7701092349517793, 0.5265051429156039, 2.3920767977923663, 0.6690044017789917, 0.2829010508794287, 0.7701092349517793, 1.478239679143489, 1.0551077526785546, 1.6912639346271254, 1.1256327492988034, 1.210388289726734, 0.9667841976905588, 1.9853732385276839, 1.4279474005879649, 1.1843433085517896, 0.5265051429156039, 0.2829010508794287, 0.7701092349517793, 0.7701092349517793, 1.1843433085517896, 1.8604162135983036, 1.29871184471473, 2.2543298062624824, 1.596491640626297, 0.8485322362077505, 0.2829010508794287, 1.8833447611556626, 0.7701092349517793, 1.1562125858513421]"
683,530,chrIII,YCL039W,52645,54882,1,"[0.2829010508794287, 1.4539923817629092, 1.29871184471473, 2.0120107116926693, 0.8485322362077505, 0.2829010508794287, 1.2346355871073136, 0.9126084938151668, 0.7701092349517793, 0.2829010508794287, 1.9083311679895607, 1.628463345990257, 0.6690044017789917, 0.5265051429156039, 0.8485322362077505, 1.6782459124687328, 0.2829010508794287, 1.6047613495965325, 0.5265051429156039, 1.2573174190241294, 1.947421018763079, 0.5265051429156039, 1.3177135758273408, 1.4141634215360728, 0.2829010508794287, 1.2346355871073136, 1.5222278170899979, 0.6690044017789917, 1.0137133269879544, 1.29871184471473, 1.8483654416327076, 1.0551077526785546, 0.7701092349517793, 1.1256327492988034, 1.5793445123162764, 1.0551077526785546, 0.8485322362077505, 0.9126084938151668, 0.5265051429156039, 0.8485322362077505, 1.3998166778875174, 1.0921363282439258, 0.6690044017789917, 2.0270750069711645, 1.1256327492988034, 0.6690044017789917, 2.0068422889064395, 0.2829010508794287, 1.5423159367509052, 1.5222278170899979, 1.738990899489685, 1.3998166778875174, 1.3998166778875174, 1.5704466594513526, 0.8485322362077505, 1.947421018763079, 1.8442549103821446, 1.3998166778875174, 1.478239679143489, 1.928419287650468, 1.6128409333711538, 1.335740420280101, 1.2573174190241294, 1.5793445123162764, 0.5265051429156039]"
684,531,chrIII,YCL040W,50838,52340,1,"[1.8095158961099336, 2.2134178053772438, 1.6360216247266204, 1.8758668957397557, 1.6506673445016888, 1.8316267345371826, 1.8942714365378641, 1.4141634215360728, 1.7553401922345417, 0.6690044017789917, 2.0295241208232553, 1.384859253954082, 2.168754087129706, 1.8316267345371826, 1.3528875485901217, 0.2829010508794287, 2.326256385659673, 1.7038169267269039, 1.0551077526785546, 1.8049217598996912, 0.7701092349517793, 0.5265051429156039, 2.3230949273198616, 0.2829010508794287, 1.466325100326476, 0.2829010508794287, 1.998944284270717, 0.2829010508794287, 1.0921363282439258, 0.8485322362077505, 1.1562125858513421, 1.8140507514875275, 1.8758668957397557, 1.4141634215360728, 1.4897635448401925, 1.7907676424086143, 0.7701092349517793, 1.7760194750550562, 1.1843433085517896, 1.1256327492988034, 0.6690044017789917, 1.7099291923626512, 1.0551077526785546, 2.105989198265891, 1.7218437711796641, 0.2829010508794287, 1.6207389380068766, 1.0551077526785546, 1.0921363282439258, 1.5613176678635161, 2.150208247137606, 1.3998166778875174, 1.4539923817629092, 0.9126084938151668, 0.9126084938151668, 0.8485322362077505, 1.6506673445016888, 0.9667841976905588, 0.2829010508794287]"
685,532,chrIII,YCL041C,50133,50627,-1,"[1.2346355871073136, 1.950490439282404, 0.5265051429156039, 1.6360216247266204, 0.2829010508794287, 0.8485322362077505, 0.7701092349517793, 1.0137133269879544, 0.7701092349517793, 0.5265051429156039, 0.9126084938151668, 1.0921363282439258, 0.9126084938151668, 0.6690044017789917, 0.7701092349517793, 1.3528875485901217, 0.6690044017789917, 1.0921363282439258, 0.7701092349517793, 1.335740420280101, 0.7701092349517793, 0.2829010508794287, 0.9126084938151668, 1.0551077526785546, 0.5265051429156039, 0.5265051429156039, 1.4539923817629092, 1.0137133269879544, 0.8485322362077505, 0.2829010508794287, 0.2829010508794287, 1.29871184471473, 1.2786237250538226, 0.9667841976905588, 1.2573174190241294]"
744,533,chrIII,YCL042W,50584,50943,1,"[1.1843433085517896, 1.3692368413349787, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.478239679143489, 0.5265051429156039, 1.6506673445016888, 1.0551077526785546, 1.0551077526785546, 1.67155149262414, 1.3177135758273408, 1.1562125858513421, 1.3528875485901217, 1.7810046141784506, 1.8095158961099336, 2.495997549513139, 2.0508304268529485, 0.7701092349517793, 1.2573174190241294, 2.282757484126792, 0.2829010508794287, 1.0551077526785546, 1.29871184471473, 1.5117361001983665, 0.2829010508794287, 1.335740420280101, 0.9126084938151668, 1.6360216247266204]"
686,534,chrIII,YCL043C,48653,50221,-1,[0.5265051429156039]
661,535,chrIII,YCL044C,47111,48364,-1,"[2.2851241355989274, 0.2829010508794287, 0.7701092349517793, 0.2829010508794287, 0.2829010508794287, 1.8002667724356356, 0.6690044017789917, 0.2829010508794287, 1.3528875485901217, 1.5793445123162764, 2.0485258519358664, 2.336593790181967, 0.2829010508794287, 1.5324153830188807, 0.6690044017789917, 0.2829010508794287, 1.5613176678635161, 1.1843433085517896, 1.0921363282439258, 1.5880226425010073, 1.2573174190241294, 0.8485322362077505, 1.0137133269879544, 0.7701092349517793, 0.6690044017789917, 0.2829010508794287, 0.5265051429156039, 0.7701092349517793, 0.2829010508794287, 1.0551077526785546, 1.3692368413349787, 1.6912639346271254, 0.7701092349517793, 1.2786237250538226]"
662,536,chrIII,YCL045C,44623,46905,-1,"[0.8485322362077505, 1.466325100326476, 0.7701092349517793, 0.2829010508794287, 0.9126084938151668, 1.7218437711796641, 0.6690044017789917, 1.9117599407033035, 0.2829010508794287, 1.7218437711796641, 1.5222278170899979, 0.2829010508794287, 1.2786237250538226, 0.6690044017789917, 1.466325100326476, 0.6690044017789917, 1.7709626048536449, 1.7333676368763677, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.0921363282439258, 0.5265051429156039]"
665,537,chrIII,YCL046W,46640,46963,1,"[0.7701092349517793, 0.9126084938151668]"
666,538,chrIII,YCL047C,43661,44437,-1,"[2.146728551230914, 0.2829010508794287, 0.2829010508794287, 0.9667841976905588, 0.6690044017789917, 1.738990899489685, 2.073081300511568, 1.1843433085517896, 1.2346355871073136, 1.8906668263183164, 0.8485322362077505, 1.928419287650468, 1.29871184471473]"
667,539,chrIII,YCL048W,42165,43556,1,"[1.596491640626297, 0.5265051429156039, 1.7276529351014789, 0.5265051429156039, 1.628463345990257, 1.628463345990257, 1.29871184471473, 1.335740420280101, 1.2573174190241294, 1.210388289726734, 0.2829010508794287, 2.3079533554044707, 1.29871184471473, 1.1256327492988034, 0.2829010508794287, 0.5265051429156039, 0.6690044017789917, 0.2829010508794287, 1.551945208018266, 1.4539923817629092, 0.2829010508794287, 0.5265051429156039, 1.551945208018266, 2.130628953996043, 2.0221249756261837, 1.2573174190241294, 1.4897635448401925, 1.5704466594513526, 2.1604452742467157, 1.6047613495965325, 1.9380485589178293, 0.2829010508794287, 1.8316267345371826, 2.4392233390456717, 1.7333676368763677, 0.9667841976905588]"
669,540,chrIII,YCL049C,39786,40724,-1,"[1.657767513572248, 1.1843433085517896, 0.7701092349517793, 1.1562125858513421, 1.7658319091261732, 0.9667841976905588, 1.8229486043524514, 1.2346355871073136, 1.0137133269879544, 1.6434207699236927, 0.9667841976905588, 1.0137133269879544, 1.3692368413349787, 1.500921511060305, 0.5265051429156039, 1.0137133269879544, 0.9667841976905588, 1.1256327492988034, 0.9126084938151668, 0.2829010508794287]"
732,541,chrIII,YCL050C,37836,38801,-1,"[1.5324153830188807, 1.2573174190241294, 1.6848151956142927, 0.5265051429156039, 1.210388289726734, 2.1637924082656914, 1.2573174190241294, 0.7701092349517793]"
733,542,chrIII,YCL051W,35865,37616,1,"[0.2829010508794287, 0.2829010508794287, 1.210388289726734, 0.5265051429156039, 1.0921363282439258, 1.9151555846603154, 0.5265051429156039, 2.226199083562035, 1.2573174190241294, 1.3692368413349787, 1.3528875485901217, 2.0171042271592743, 0.7701092349517793, 1.7333676368763677, 0.7701092349517793, 1.9380485589178293, 1.3692368413349787, 0.5265051429156039, 0.2829010508794287, 1.7499744938801116, 0.9667841976905588, 1.738990899489685, 2.1654540965410836, 1.9185187339184437, 1.335740420280101, 1.1843433085517896]"
734,543,chrIII,YCL052C,34143,35393,-1,"[1.478239679143489, 1.6912639346271254]"
737,544,chrIII,YCL054W,31449,33974,1,[0.7701092349517793]
738,545,chrIII,YCL055W,27929,28936,1,"[1.9412005658352596, 1.7499744938801116, 0.2829010508794287, 0.9126084938151668, 1.628463345990257, 1.2573174190241294, 0.5265051429156039, 0.7701092349517793, 0.2829010508794287]"
740,546,chrIII,YCL056C,26925,27359,-1,"[0.8485322362077505, 0.2829010508794287, 0.2829010508794287, 1.0137133269879544, 1.0921363282439258, 0.2829010508794287, 1.7499744938801116, 0.8485322362077505, 1.478239679143489, 1.5324153830188807]"
741,547,chrIII,YCL057W,24768,26906,1,"[1.0551077526785546, 1.8002667724356356, 1.0921363282439258, 0.6690044017789917, 0.9126084938151668, 1.6782459124687328, 2.0576548435237028, 0.2829010508794287, 1.29871184471473, 1.6647270759533856, 1.29871184471473, 0.2829010508794287, 0.7701092349517793, 1.7810046141784506, 0.2829010508794287, 1.2786237250538226]"
721,548,chrIII,YCL058C,23523,23981,-1,[0.6690044017789917]
654,549,chrIII,YCL059C,22429,23379,-1,[2.0171042271592743]
720,550,chrIII,YCL061C,18816,22106,-1,"[1.0551077526785546, 0.5265051429156039, 1.5222278170899979, 1.8564450254073293, 0.2829010508794287, 1.3692368413349787, 0.2829010508794287, 0.6690044017789917, 1.1843433085517896, 0.2829010508794287, 0.9126084938151668, 1.7333676368763677, 0.5265051429156039, 0.5265051429156039, 1.1562125858513421, 0.2829010508794287, 1.4279474005879649, 0.9667841976905588, 0.2829010508794287, 1.0137133269879544, 0.7701092349517793, 0.6690044017789917]"
709,551,chrIII,YCL063W,17290,18561,1,"[1.6047613495965325, 1.0551077526785546, 0.9126084938151668, 1.0551077526785546, 0.9126084938151668, 0.7701092349517793, 1.628463345990257]"
718,552,chrIII,YCL064C,15798,16880,-1,[1.7218437711796641]
717,553,chrIII,YCL065W,13751,14119,1,[]
722,554,chrIII,YCL066W,13282,13809,1,[]
739,555,chrIII,YCL067C,12386,13018,-1,[]
724,556,chrIII,YCL068C,11503,12285,-1,[]
668,557,chrIII,YCL069W,9706,11082,1,[1.2786237250538226]
674,558,chrIII,YCL073C,6479,8326,-1,"[0.2829010508794287, 1.8833447611556626]"
663,559,chrIII,YCL074W,2824,3750,1,"[1.818527836434233, 0.7701092349517793, 1.4141634215360728]"
687,560,chrIII,YCL075W,2126,2566,1,[0.2829010508794287]
747,561,chrIII,YCL076W,1392,2135,1,[]
748,562,chrIII,YCL026C-A,74704,75285,-1,"[0.2829010508794287, 0.7701092349517793, 1.8796257167627959, 1.2346355871073136, 1.0137133269879544, 0.5265051429156039, 1.0137133269879544, 1.5423159367509052, 1.6506673445016888, 0.6690044017789917, 2.046206065193062, 1.1256327492988034, 1.0551077526785546, 1.1562125858513421, 2.0553947301685147, 2.036770695401252, 1.1843433085517896]"
761,563,chrIII,YCR001W,115685,115999,1,"[0.9126084938151668, 1.2573174190241294, 0.9667841976905588, 0.6690044017789917, 2.034371734444789, 2.113756286001042, 1.6848151956142927, 0.5265051429156039, 1.9251499950935305, 0.2829010508794287, 1.0921363282439258, 1.0551077526785546, 2.105989198265891, 0.9126084938151668, 2.119470987775931, 2.23446879253227, 0.9126084938151668, 0.9126084938151668, 0.2829010508794287, 1.6506673445016888, 1.0137133269879544, 1.1256327492988034]"
767,564,chrIII,YCR002C,117380,118348,-1,[]
768,565,chrIII,YCR003W,118620,119171,1,"[2.4006700477893834, 0.8485322362077505, 1.384859253954082, 0.9126084938151668, 1.3998166778875174, 1.7218437711796641, 0.9126084938151668, 0.2829010508794287, 1.3528875485901217, 0.6690044017789917, 1.6848151956142927, 1.628463345990257, 1.3528875485901217, 1.67155149262414, 1.2786237250538226, 0.9667841976905588, 1.998944284270717, 1.4141634215360728, 1.7606252003313516, 0.5265051429156039, 2.1800659827261835, 2.3832681558469515, 1.976971728912543, 0.2829010508794287, 1.3998166778875174, 2.210513273014462, 1.7709626048536449, 2.123229808798971, 2.386818149824241, 2.5750671864906702]"
769,566,chrIII,YCR004C,119575,120318,-1,"[0.9126084938151668, 0.2829010508794287, 1.0137133269879544, 1.628463345990257, 2.0857855662241502, 1.2573174190241294, 0.2829010508794287, 0.9126084938151668, 1.384859253954082, 0.2829010508794287, 1.1562125858513421, 1.8095158961099336, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 2.0068422889064395, 1.7218437711796641, 1.818527836434233, 1.210388289726734, 1.6047613495965325, 0.2829010508794287, 0.2829010508794287, 0.2829010508794287, 1.6782459124687328, 1.6782459124687328, 1.4897635448401925, 0.2829010508794287, 1.210388289726734, 0.2829010508794287, 1.628463345990257, 1.5423159367509052, 1.9535332843988262, 1.29871184471473, 1.4412111035781174, 1.0137133269879544, 1.6360216247266204, 0.7701092349517793, 1.1843433085517896, 1.210388289726734, 0.5265051429156039, 1.3177135758273408, 1.0551077526785546, 0.8485322362077505]"
728,567,chrIII,YCR005C,120946,122328,-1,"[0.9667841976905588, 0.2829010508794287, 2.0773672855266883, 1.7810046141784506, 1.596491640626297, 2.492746403150372, 1.1256327492988034, 2.046206065193062, 0.6690044017789917, 0.2829010508794287, 2.089920277626467, 1.6506673445016888, 0.5265051429156039, 1.2346355871073136, 2.144975697644598, 0.9126084938151668, 0.2829010508794287, 1.210388289726734, 1.6848151956142927, 1.0137133269879544, 0.7701092349517793, 0.8485322362077505, 1.9348680266633007, 0.9667841976905588, 0.2829010508794287, 1.6782459124687328, 0.7701092349517793, 2.204631187333796, 2.1637924082656914, 2.132454653766788, 1.1562125858513421, 0.9667841976905588, 1.3528875485901217, 1.7099291923626512, 2.2016528100549424, 0.9667841976905588, 1.9741259934005702, 0.8485322362077505, 1.8095158961099336, 1.8604162135983036, 0.5265051429156039, 0.8485322362077505, 0.9126084938151668, 1.0551077526785546, 1.1562125858513421, 1.5117361001983665, 1.6848151956142927, 1.8604162135983036, 0.9667841976905588, 0.2829010508794287, 2.0171042271592743, 1.971257027137654, 1.8229486043524514, 1.7099291923626512, 0.5265051429156039, 1.4539923817629092, 1.7038169267269039, 1.7955493000544414, 1.2346355871073136, 1.1256327492988034, 0.6690044017789917, 0.9126084938151668, 0.9667841976905588, 1.5880226425010073, 0.7701092349517793, 1.0551077526785546, 1.3998166778875174, 1.1843433085517896, 1.7955493000544414, 2.0940069098993916, 1.0137133269879544, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 2.0940069098993916, 1.29871184471473, 0.9126084938151668, 1.6434207699236927, 2.0940069098993916, 1.0551077526785546, 1.335740420280101, 1.6647270759533856, 1.6434207699236927]"
